NUMBER,SHARK,DATE,ECOCEAN,SEX,SIZE,TRANSMITTERID,NAME,COMMENT,BATCH
79,WS_403,4/12/14,DJ-109,M,4.25,A69-9002-15364,WS_403,,2014-1
43,WS_116,4/14/2011,NA,F,4,A69-9002-15794,WS_116,,2011-1
44,WS_115,4/15/2011,NA,F,4,A69-9002-15783,WS_115,,2011-1
48,WS_119,4/18/2011,NA,M,4,A69-9002-15773,WS_119,,2011-1
49,WS_120,4/19/2011,NA,F,3.67,A69-9002-15793,WS_120,,2011-1
50,WS_121,4/19/2011,NA,F,3.5,A69-9002-15786,WS_121,,2011-1
51,WS_123,4/19/2011,NA,M,3.5,A69-9002-15777,WS_123,,2011-1
54,WS_118,4/20/2011,NA,UK,3,A69-9002-15780,WS_118,,2011-1
58,WS_128,4/22/2011,NA,UK,3.5,A69-9002-15796,WS_128,,2011-1
59,WS_129,4/26/2011,NA,M,4.5,A69-9002-15779,WS_129,,2011-1
5,WS_009,3/30/2010,R-031,UK,6.33,A69-9002-1494,WS_009,,2010-1
17,WS_034,4/22/2010,R-034 ,M,3,A69-9002-2120,WS_034,,2010-1
26,WS_008,4/30/2010,R-035,F,3,A69-9002-2127,WS_008,,2010-1
7,WS_014,4/12/2010,R-036,M,3.5,A69-9002-1496,WS_014,,2010-1
30,WS_031,5/04/2010,R-037,M,3.5,A69-9002-2673,WS_031,,2010-1
21,WS_038,4/22/2010,R-038,F,3,A69-9002-1482,WS_038,,2010-1
33,WS_044,5/11/2010,R-039,F,4.25,A69-9002-2671,WS_044,,2010-1
12,WS_032,4/15/2010,R-040,M,NA,A69-9002-1484,WS_032,,2010-1
28,WS_024,5/04/2010,R-042,F,3,A69-1601-438,WS_024,,2010-1
16,WS_033,4/16/2010,R-058,F,4.38,A69-9002-2126,WS_033,,2010-1
88,WS_508,4/30/2015,R-059,M,3.5,A69-9001-25536,WS_508,,2015-1
78,WS_402,4/11/2014,R-061,F,4.67,A69-9002-15797,WS_402,,2014-1
91,WS_402,3/10/2016,R-061,F,4.67,A69-9001-19728,WS_402,Retagging,2016-1
81,WS_501,4/19/2015,R-064,F,5,A69-9002-2667,WS_501,,2015-1
36,WS_103,3/31/2011,R-070,M,4,A69-9002-15819,WS_103,,2011-1
66,WS_103,4/18/2012,R-070,M,4,A69-9002-15811,WS_103,Retagging,2012-1
85,WS_505,4/28/2015,R-072,F,4.25,A69-9001-25545,WS_505,,2015-1
37,WS_107,4/02/2011,R-073,F,4.35,A69-9002-2668,WS_107,,2011-1
94,WS_107,3/31/2016,R-073,F,4.35,A69-9001-21589,WS_107,Retagging,2016-1
95,WS_603,3/31/2016,R-074,M,4.5,A69-9001-19741,WS_603,,2016-1
96,WS_605,4/03/2016,R-075,F,4.44,A69-9001-19743,WS_605,,2016-1
99,WS_608,4/24/2016,R-081,F,3.25,A69-9001-19729,WS_608,,2016-1
92,WS_601,3/19/2016,R-082,M,4,A69-9001-21588,WS_601,,2016-1
9,WS_020,4/12/2010,R-084,F,4,A69-9002-1486,WS_020,,2010-1
53,WS_104,4/20/2011,R-085,F,3.38,A69-9002-15792,WS_104,,2011-1
71,WS_104,4/20/2012,R-085,F,3.38,A69-9002-15800,WS_104,Retagging,2012-1
35,WS_046,5/12/2010,R-086,M,3,A69-9002-2675,WS_046,,2010-1
22,WS_015,4/23/2010,R-089,F,3.5,A69-9002-2117,WS_015,,2010-1
62,WS_015,3/16/2012,R-089,F,3.5,A69-9002-2678,WS_015,Retagging,2012-1
31,WS_042,5/04/2010,R-090,M,3,A69-9002-2129,WS_042,,2010-1
24,WS_025,4/28/2010,R-092,F,3.75,A69-9002-2116,WS_025,,2010-1
52,WS_025,4/20/2011,R-092,F,3.75,A69-9002-15795,WS_025,Retagging,2011-1
10,WS_019,4/15/2010,R-094,F,3,A69-9002-1489,WS_019,,2010-1
32,WS_043,5/07/2010,R-096,F,3.5,A69-9002-2672,WS_043,,2010-1
41,WS_112,4/14/2011,R-098,M,3.5,A69-9002-15778,WS_112,,2011-1
47,WS_112,4/18/2011,R-098,M,5,A69-9002-2677,WS_112,Retagging,2011-1
34,WS_045,5/11/2010,R-099,M,3.5,A69-9002-2666,WS_045,,2010-1
23,WS_039,4/27/2010,R-100,F,4.5,A69-9002-2122,WS_039,,2010-1
72,WS_209,5/03/2012,R-101,F,4,A69-9002-15814,WS_209,,2012-1
46,WS_111,4/16/2011,R-102,M,4,A69-9002-15774,WS_111,,2011-1
87,WS_507,4/28/2015,R-103,M,5.86,A69-9001-25542,WS_507,,2015-1
89,WS_509,5/02/2015,R-105,M,NA,A69-9001-25539,WS_509,,2015-1
90,WS_510,5/09/2015,R-106,M,3.5,A69-9001-25538,WS_510,,2015-1
100,WS_609,5/01/2016,R-108,M,3.33,A69-9001-19731,WS_609,,2010-1
57,WS_127,4/22/2011,R-115,F,5.75,A69-9002-15789,WS_127,,2011-1
76,WS_127,3/25/2014,R-115,F,5.75,A69-9001-28054,WS_127,Retagging,2014-1
77,WS_401,4/11/2014,R-116,NA,6.5,A69-9001-28076,WS_401,,2014-1
80,WS_404,4/26/2014,R-121,F,5,A69-9001-28055,WS_404,,2014-1
97,WS_606,4/03/2016,R-123,UK,3.5,A69-9001-19744,WS_606,,2016-1
18,WS_035,4/22/2010,R-124,M,4.25,A69-9002-2123,WS_035,,2010-1
93,WS_035,3/31/2016,R-124,M,NA,A69-9001-19739,WS_035,Retagging,2016-1
98,WS_607,4/09/2016,R-126,M,NA,A69-9001-19740,WS_607,,2016-1
65,WS_204,3/29/2012,R-132,M,3,A69-9002-15820,WS_204,,2012-1
68,WS_206,4/19/2012,R-134,M,3.5,A69-9002-15815,WS_206,,2012-1
67,WS_205,4/19/2012,R-135,UK,3,A69-9002-15822,WS_205,,2012-1
82,WS_502,4/19/2015,R-136,M,3.5,A69-9002-2673,WS_502,,2015-1
86,WS_506,4/28/2015,R-138,F,6,A69-9001-25544,WS_506,,2015-1
83,WS_503,4/28/2015,R-142,M,5,A69-9002-15798,WS_503,,2015-1
1,WS_001,3/27/2010,R-161,UK,NA,A69-9002-1488,WS_001,,2010-1
2,WS_002,3/28/2010,R-162,UK,NA,A69-9002-1500,WS_002,,2010-1
4,WS_005,3/29/2010,R-163,UK,4,A69-9002-1499,WS_005,,2010-1
3,WS_003,3/28/2010,R-165,UK,4.5,A69-9002-1501,WS_003,,2010-1
6,WS_011,3/30/2010,R-166,UK,NA,A69-9002-1487,WS_011,,2010-1
8,WS_016,4/12/2010,R-167,M,5,A69-9002-1491,WS_016,,2010-1
14,WS_027,4/16/2010,R-168,UK,3,A69-9002-1483,WS_027,,2010-1
11,WS_023,4/15/2010,R-169,M,NA,A69-9002-1498,WS_023,,2010-1
13,WS_026,4/16/2010,R-171,UK,NA,A69-9002-2124,WS_026,,2010-1
15,WS_029,4/16/2010,R-172,F,7,A69-9002-1495,WS_029,,2010-1
20,WS_037,4/22/2010,R-173,M,7,A69-9002-2121,WS_037,,2010-1
19,WS_036,4/22/2010,R-174,M,3.5,A69-9002-2119,WS_036,,2010-1
25,WS_040,4/28/2010,R-175,M,4,A69-9002-2118,WS_040,,2010-1
27,WS_041,4/30/2010,R-176,F,4,A69-9002-2125,WS_041,,2010-1
29,WS_030,5/04/2010,R-177,M,3,A69-9002-2128,WS_030,,2010-1
38,WS_108,4/06/2011,R-181,F,4.5,A69-9002-15817,WS_108,,2011-1
39,WS_109,4/07/2011,R-182,F,4,A69-9002-15788,WS_109,,2011-1
40,WS_110,4/07/2011,R-183,F,4.5,A69-9002-15775,WS_110,,2011-1
45,WS_117,4/15/2011,R-184,M,3.5,A69-9002-2676,WS_117,,2011-1
42,WS_113,4/14/2011,R-185,M,NA,A69-9002-2674,WS_113,,2011-1
75,WS_212,5/04/2012,R-189,F,4,A69-9002-15802,WS_212,,2012-1
56,WS_126,4/22/2011,R-190,M,3,A69-9002-15782,WS_126,,2011-1
60,WS_130,4/26/2011,R-193,F,3.5,A69-9002-2681,WS_130,,2011-1
61,WS_131,4/27/2011,R-194,F,3,A69-9002-2683,WS_131,,2011-1
63,WS_202,3/16/2012,R-196,M,5,A69-9002-2130,WS_202,,2012-1
55,WS_124,4/20/2011,R-197,M,4.5,A69-9002-15781,WS_124,,2011-1
64,WS_203,3/16/2012,R-199,M,3,A69-9002-2682,WS_203,,2012-1
70,WS_208,4/19/2012,R-200,F,4,A69-9002-2679,WS_208,,2012-1
69,WS_207,4/19/2012,R-201,F,3,A69-9002-15809,WS_207,,2012-1
74,WS_211,5/03/2012,R-202,M,4.5,A69-9002-15821,WS_211,,2012-1
73,WS_210,5/03/2012,R-203,UK,NA,A69-9002-15810,WS_210,,2012-1
84,WS_504,4/28/2015,R141,M,NA,A69-9001-25543,WS_504,,2015-1