ecocean,shark,transmitterid,date.conf,date.min
DJ-109,WS_403,A69-9002-15364,3/18/2016,4/08/15
R-061,WS_402,A69-9002-15797,4/10/16,5/21/2015
R-070,WS_103,A69-9002-15819,4/18/2012,3/28/2012
R-073,WS_107,A69-9002-2668,3/25/2014,5/02/11
R-085,WS_104,A69-9002-15792,4/20/2012,7/31/2011
R-089,WS_015,A69-9002-2117,3/16/2012,7/02/11
R-092,WS_025,A69-9002-2116,4/20/2011,4/07/11
R-115,WS_127,A69-9002-15789,3/25/2014,4/27/2011
R-124,WS_035,A69-9002-2123,3/31/2016,2/26/2011
R-183,WS_110,A69-9002-15778,4/04/14,11/09/12